#---
#profile: tabular-data-package
#name: synthetic_df
#fields:
#- name: bmi
#  type: number
#- name: living_expenses
#  type: number
#- name: IQ
#  type: number
#- name: GPA
#  type: number
#- name: sex
#  type: string
#- name: Happiness
#  type: string
#  levels:
#  - low
#  - medium
#  - high
#--- 
bmi,living_expenses,IQ,GPA,sex,Happiness
26.6458708952186,373.221469375408,103.283250101043,3.55853267035179,Male,high
26.0525993599751,421.216441703617,120.947128538502,3.50510684301145,Male,high
19.4201120345403,407.21080273243,79.4328084330831,2.73031619379916,Female,high
23.3636452367846,358.484745281232,97.0454585079796,3.09913956770147,Female,high
22.8080657385039,283.470438986773,80.2579111982195,2.13851590299471,Male,low
25.4245542781174,344.154496247677,107.116835503556,3.17242602204672,Male,medium
22.6686972775987,310.253659759319,117.546772564751,3.84965549588987,Female,high
24.1110448702794,350.992685733011,83.9522852794204,2.19858732877868,Male,low
21.6202916542345,320.728546668248,84.0910203881773,2.64126195883829,Female,low
23.4835691830281,426.883101644862,97.3523089097809,2.7478198899009,Female,high
21.8326567915799,241.193540863584,84.4385937181422,2.45004383034579,Male,high
19.9946420717896,375.480870978869,100.591100191859,2.92494523732427,Male,medium
25.810791190495,314.488109696953,112.300941947523,3.661113521478,Male,high
25.8067897176404,397.036352267614,125.220332865915,3.8616096144369,Female,high
20.191765244458,407.453088027655,113.286318241357,3.41231262979602,Female,low
23.5766393095499,462.749354230555,99.3009536584552,3.04476205597225,Female,medium
28.7323096687267,331.315619353284,106.605969001054,2.81166208899945,Male,high
21.3643839807733,305.731616518796,89.3385625605732,2.64804027871686,Male,low
22.878288419034,299.613006629483,81.0907469087134,2.43232985479663,Female,low
21.8922618949395,363.152776312944,85.4374902182931,2.73248701715166,Male,high
20.2931311880849,319.156925251913,89.0803018487631,2.34256880423902,Female,high
29.6581375333562,351.811424865919,99.1209272416035,3.01886346105587,Male,medium
21.4068970277481,291.792054950216,93.8032048468297,2.74310212937383,Female,medium
23.3008755394539,412.193635687437,90.3273464157738,2.56360657163069,Male,low
24.6372179989044,440.992867775869,76.0489671235581,1.9720858374482,Male,high
27.0717042879004,300.908941282369,103.113834458189,2.90861946229943,Male,medium
22.0703943195638,307.956478736153,124.710072910177,4,Female,low
23.1458547094775,364.31849252546,104.275672232145,3.11133023612587,Male,medium
20.7278495301706,392.603241005258,119.047095494019,3.55621171658053,Female,medium
22.7169848326626,379.075199757587,120.490845031759,3.55261331277974,Male,high
26.0840305385508,411.516543461988,97.6687700016442,2.84147889169264,Female,high
19.3273227427363,257.545646250621,85.1601935758951,2.38795993561146,Female,low
19.7437802211482,351.589905917586,118.403891335556,3.60404771768566,Female,medium
25.1414938516476,357.150068543733,88.6766529057476,2.55981064669914,Male,high
18.7752572639578,403.52052553368,88.9253662341821,2.90832416173484,Female,medium
22.9183710812001,337.394669818112,94.1859626931917,2.57493883558455,Female,low
26.5297177519056,366.961412646508,103.59358172016,2.86700908056825,Male,medium
22.8403413310613,444.257716355106,87.485179994135,2.60356527314656,Female,low
19.9109804507616,346.606139413675,77.6807815448208,2.01880134654418,Female,high
22.0772403905229,320.98712002616,84.5408135201355,2.74964552727267,Female,medium
28.6830462034115,289.297411015214,106.632076479753,3.18359554094776,Male,medium
26.3475153335914,249.134555749737,83.6463957824946,2.29335620641863,Female,low
23.7355700713609,328.296069306446,94.2137613357691,2.67906960788249,Female,low
29.6966612466875,289.447945352733,130.07809658743,3.68166480123851,Male,high
20.0352738530089,317.038380941474,109.081865404638,3.84678880587936,Male,low
26.0279384121695,398.858545971497,128.425996321731,3.92068555531657,Male,high
13.6521408928313,384.341280481833,80.1964989500799,2.5342519171444,Female,high
25.0761926612631,247.98098308283,110.30375558741,3.4797467187239,Male,high
21.0804458568117,270.351278068662,111.186940047585,3.45301053716951,Female,low
21.5168678328545,362.77998877937,76.6366093233128,2.15423191424626,Female,medium
22.5460349161902,408.561418890553,104.111888072591,2.95689433976102,Female,medium
18.5065496765321,319.39204553408,122.79433638058,3.52807231773228,Female,high
23.0473492340377,453.604099597486,96.2689630985892,2.77153922821927,Female,medium
18.5537507389067,387.06027153128,102.967146200195,3.39130265795864,Male,high
30.0451239233089,359.293598394596,101.85659014802,2.97206125981429,Male,medium
28.4213419500647,326.530455891569,99.1092564205943,2.9874571639291,Female,medium
23.9999345186199,376.67621968554,118.838745624844,3.64393059876115,Female,high
22.8022187453102,382.500545496169,78.7231237325086,2.47805510918691,Male,low
20.2427951970519,351.342901579047,107.958552724461,3.50368992064058,Female,high
25.0472178543216,429.237259377788,98.4701498115778,2.83036664365481,Male,medium
18.4037756644594,378.286585200023,108.989152212788,2.93472080164557,Female,medium
23.0183280286526,295.944245046016,96.7245687145094,2.98183614353106,Male,medium
24.9552839867881,343.777421647412,103.463426755956,3.25332887323817,Male,medium
27.4774431922157,306.372882861502,109.690287742684,3.59356369312008,Male,low
25.1199256376456,347.118360345544,65.843339876587,2.12985511665704,Male,high
28.2487373048085,273.275628896707,99.1706231824128,2.91323601831855,Male,medium
18.5614608478224,379.820781467905,130.020022405294,4,Male,high
21.6260103227416,322.63595556425,97.9960976173201,2.67137250859989,Female,low
18.7428321086773,362.734233033486,91.9494388542181,2.41659362515633,Female,low
21.836779618637,216.478656140171,101.349342140913,3.35272921000127,Female,high
30.7903587978245,307.501041656842,73.7684971210157,2.23753938407962,Male,low
17.7308272231033,370.707365516055,109.616728529,3.64762707002321,Female,high
26.6284994314693,369.781931667736,108.235158329519,3.56439320092284,Male,high
21.9622607949305,382.327794890813,84.74609694962,2.64516946111602,Female,low
20.7392343325807,197.337664485516,99.2302908813484,2.8973126869879,Female,medium
21.8089103553124,325.537332735813,104.227494501842,3.35702428450535,Male,high
30.0208655168056,348.211872875492,102.881209343787,2.74953285636068,Male,medium
20.1948414376674,338.109461682255,96.6290183467434,2.72462076492208,Male,low
24.7501257899603,334.173635774092,106.423297103205,2.95274095824852,Female,medium
26.9461370311582,313.003049494453,69.5834223177385,2.26170947554126,Male,low
23.8693544078667,344.36751284599,83.6760659567694,2.5849847311701,Male,low
27.9523531549418,339.346699102479,71.8332236350644,1.81472808286679,Male,low
22.508465138405,382.885059999034,107.907026027739,3.47388081996827,Female,low
26.6159096500606,391.693931040252,100.55067195404,3.0992468456595,Male,medium
26.3118605902865,316.417580529866,105.10591415856,2.77841933690067,Male,medium
21.8239307122215,366.396387976357,68.3459652456094,1.80961202681024,Male,low
18.9902703668811,352.959780371589,93.0147577993921,2.72109867380964,Female,low
20.7529066637667,431.135080352478,98.3060894448174,2.72250300111926,Female,low
